Issue,Relative Day,Format,Content Source,Hook Or Title,Asset To Create,Caption Source,Link,Status
Issue 01,Day 1,Reel,social/episodes/issue-01-instagram-kit.md - Reel 1,You are not behind on AI.,Vertical video + Reel cover,Issue 01 kit - Reel 1 caption,issues/issue-01.html,Not started
Issue 01,Day 2,Carousel,social/episodes/issue-01-instagram-kit.md - Carousel,5 tiny ways to try AI this week without taking a course.,7 carousel slides,Issue 01 kit - Carousel caption,issues/issue-01.html,Not started
Issue 01,Day 3,Stories,social/episodes/issue-01-instagram-kit.md - Stories,New lAIdies episode is live: On Wednesdays We Use AI,5 story slides + poll + link sticker,Issue 01 kit - Stories,issues/issue-01.html,Not started
Issue 01,Day 4,Reel,social/episodes/issue-01-instagram-kit.md - Reel 2,AI is not Google in a blazer.,Vertical video + Reel cover,Issue 01 kit - Reel 2 caption,issues/issue-01.html,Not started
Issue 01,Day 5,Reel,social/episodes/issue-01-instagram-kit.md - Reel 3,Cher had a closet computer in 1995. You can open the tab.,Vertical video or text Reel + Reel cover,Issue 01 kit - Reel 3 caption,issues/issue-01.html,Not started
Issue 02,Day 1,Reel,social/episodes/issue-02-instagram-kit.md - Reel 1,The Spice Girls were right about prompting.,Vertical video + Reel cover,Issue 02 kit - Reel 1 caption,issues/issue-02.html,Not started
Issue 02,Day 2,Carousel,social/episodes/issue-02-instagram-kit.md - Carousel,Bad prompt vs better prompt: how specificity changes the output.,7 carousel slides,Issue 02 kit - Carousel caption,issues/issue-02.html,Not started
Issue 02,Day 3,Stories,social/episodes/issue-02-instagram-kit.md - Stories,New lAIdies episode is live: Tell Me What You Want,5 story slides + poll + link sticker,Issue 02 kit - Stories,issues/issue-02.html,Not started
Issue 02,Day 4,Reel,social/episodes/issue-02-instagram-kit.md - Reel 2,"Stop asking AI to ""make this better.""",Vertical video + Reel cover,Issue 02 kit - Reel 2 caption,issues/issue-02.html,Not started
Issue 02,Day 5,Reel,social/episodes/issue-02-instagram-kit.md - Reel 3,Be David Rose about your prompts.,Vertical video or text Reel + Reel cover,Issue 02 kit - Reel 3 caption,issues/issue-02.html,Not started
